freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
5915.233,6.0154,4.9603,nan,nan,nan,nan
5970.076,6.0156,4.9300,nan,nan,nan,nan
6025.428,6.0158,4.8995,nan,nan,nan,nan
6081.293,6.0160,4.8687,nan,nan,nan,nan
6137.676,6.0161,4.8376,nan,nan,nan,nan
6194.581,6.0163,4.8063,nan,nan,nan,nan
6252.014,6.0164,4.7747,nan,nan,nan,nan
6309.980,6.0166,4.7429,nan,nan,nan,nan
6368.483,6.0167,4.7109,nan,nan,nan,nan
6427.529,6.0169,4.6786,nan,nan,nan,nan
6487.122,6.0170,4.6461,nan,nan,nan,nan
6547.267,6.0171,4.6134,nan,nan,nan,nan
6607.970,6.0173,4.5804,nan,nan,nan,nan
6669.236,6.0174,4.5473,nan,nan,nan,nan
6731.070,6.0175,4.5140,nan,nan,nan,nan
6793.477,6.0176,4.4805,nan,nan,nan,nan
6856.463,6.0177,4.4469,nan,nan,nan,nan
6920.033,6.0178,4.4131,nan,nan,nan,nan
6984.192,6.0179,4.3792,nan,nan,nan,nan
7048.946,6.0180,4.3451,nan,nan,nan,nan
7114.300,6.0181,4.3109,nan,nan,nan,nan
7180.261,6.0182,4.2767,nan,nan,nan,nan
7246.833,6.0183,4.2620,nan,nan,nan,nan
7314.022,6.0184,4.2534,nan,nan,nan,nan
7381.834,6.0185,4.2444,nan,nan,nan,nan
7450.275,6.0185,4.2349,nan,nan,nan,nan
7519.350,6.0186,4.2249,nan,nan,nan,nan
7589.066,6.0187,4.2144,nan,nan,nan,nan
7659.428,6.0188,4.2035,nan,nan,nan,nan
7730.442,6.0188,4.1920,nan,nan,nan,nan
7802.115,6.0189,4.1800,nan,nan,nan,nan
7874.453,6.0189,4.1674,nan,nan,nan,nan
7947.461,6.0190,4.1543,nan,nan,nan,nan
8021.146,6.0191,4.1407,nan,nan,nan,nan
8095.514,6.0191,4.1265,nan,nan,nan,nan
8170.572,6.0192,4.1117,nan,nan,nan,nan
8246.325,6.0192,4.0964,nan,nan,nan,nan
8322.781,6.0193,4.0804,nan,nan,nan,nan
8399.946,6.0193,4.0639,nan,nan,nan,nan
8477.826,6.0194,4.0468,nan,nan,nan,nan
8556.428,6.0194,4.0290,nan,nan,nan,nan
8635.759,6.0195,4.0107,nan,nan,nan,nan
8715.826,6.0195,3.9917,nan,nan,nan,nan
8796.635,6.0195,3.9721,nan,nan,nan,nan
8878.193,6.0196,3.9519,nan,nan,nan,nan
8960.507,6.0196,3.9310,nan,nan,nan,nan
9043.585,6.0196,3.9095,nan,nan,nan,nan
9127.433,6.0197,3.8873,nan,nan,nan,nan
