freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
38.37,-6.5065,2.4935,2.4935,3.0581,9.0000,-0.0000,9.0000,3.0508,0.5573,0.5646,-6.5120,-70.4605,-175.8458
38.51,-6.4891,2.5109,2.5109,3.0552,9.0000,-0.0000,9.0000,3.0480,0.5371,0.5443,-6.4947,-70.2897,-175.7241
38.64,-6.4718,2.5282,2.5282,3.0524,9.0000,-0.0000,9.0000,3.0453,0.5170,0.5242,-6.4775,-70.1187,-175.6024
38.78,-6.4547,2.5453,2.5453,3.0495,9.0000,-0.0000,9.0000,3.0425,0.4971,0.5042,-6.4605,-69.9476,-175.4807
38.91,-6.4377,2.5623,2.5623,3.0467,9.0000,-0.0000,9.0000,3.0397,0.4774,0.4844,-6.4436,-69.7762,-175.3590
39.05,-6.4209,2.5791,2.5791,3.0438,9.0000,-0.0000,9.0000,3.0369,0.4578,0.4647,-6.4270,-69.6048,-175.2373
39.19,-6.4043,2.5957,2.5957,3.0409,9.0000,-0.0000,9.0000,3.0341,0.4384,0.4452,-6.4104,-69.4331,-175.1155
39.33,-6.3879,2.6121,2.6121,3.0380,9.0000,-0.0000,9.0000,3.0312,0.4191,0.4259,-6.3941,-69.2612,-174.9938
39.46,-6.3716,2.6284,2.6284,3.0351,9.0000,-0.0000,9.0000,3.0284,0.4000,0.4067,-6.3779,-69.0892,-174.8721
39.60,-6.3555,2.6445,2.6445,3.0321,9.0000,-0.0000,9.0000,3.0255,0.3810,0.3876,-6.3619,-68.9170,-174.7504
39.74,-6.3395,2.6605,2.6605,3.0292,9.0000,-0.0000,9.0000,3.0226,0.3621,0.3687,-6.3461,-68.7446,-174.6287
39.88,-6.3237,2.6763,2.6763,3.0262,9.0000,-0.0000,9.0000,3.0197,0.3434,0.3499,-6.3304,-68.5720,-174.5070
40.02,-6.3080,2.6920,2.6920,3.0233,9.0000,-0.0000,9.0000,3.0168,0.3249,0.3313,-6.3149,-68.4030,-174.3852
40.16,-6.2926,2.7074,2.7074,3.0202,9.0000,-0.0000,9.0000,3.0139,0.3065,0.3128,-6.2995,-68.2564,-174.2635
40.30,-6.2772,2.7228,2.7228,3.0172,9.0000,-0.0000,9.0000,3.0110,0.2882,0.2945,-6.2843,-68.1097,-174.1418
40.44,-6.2621,2.7379,2.7379,3.0142,9.0000,-0.0000,9.0000,3.0080,0.2701,0.2763,-6.2692,-67.9629,-174.0201
40.58,-6.2471,2.7529,2.7529,3.0111,9.0000,-0.0000,9.0000,3.0050,0.2521,0.2582,-6.2543,-67.8160,-173.8984
40.73,-6.2322,2.7678,2.7678,3.0081,9.0000,-0.0000,9.0000,3.0020,0.2342,0.2403,-6.2395,-67.6690,-173.7767
40.87,-6.2175,2.7825,2.7825,3.0050,9.0000,-0.0000,9.0000,2.9990,0.2165,0.2225,-6.2249,-67.5220,-173.6549
41.01,-6.2029,2.7971,2.7971,3.0019,9.0000,-0.0000,9.0000,2.9960,0.1989,0.2048,-6.2105,-67.3748,-173.5332
41.16,-6.1884,2.8116,2.8116,2.9988,9.0000,-0.0000,9.0000,2.9930,0.1814,0.1873,-6.1962,-67.2275,-173.4115
41.30,-6.1741,2.8259,2.8259,2.9957,9.0000,-0.0000,9.0000,2.9900,0.1641,0.1699,-6.1820,-67.0802,-173.2898
41.45,-6.1600,2.8400,2.8400,2.9926,9.0000,-0.0000,9.0000,2.9869,0.1469,0.1526,-6.1679,-66.9328,-173.1681
41.59,-6.1460,2.8540,2.8540,2.9894,9.0000,-0.0000,9.0000,2.9838,0.1298,0.1354,-6.1541,-66.7852,-173.0464
41.74,-6.1321,2.8679,2.8679,2.9863,9.0000,-0.0000,9.0000,2.9807,0.1128,0.1184,-6.1403,-66.6376,-172.9246
41.88,-6.1184,2.8816,2.8816,2.9831,9.0000,-0.0000,9.0000,2.9776,0.0960,0.1015,-6.1267,-66.4899,-172.8029
42.03,-6.1048,2.8952,2.8952,2.9799,9.0000,-0.0000,9.0000,2.9745,0.0793,0.0847,-6.1132,-66.3420,-172.6812
42.18,-6.0913,2.9087,2.9087,2.9767,9.0000,-0.0000,9.0000,2.9714,0.0626,0.0680,-6.0999,-66.1941,-172.5595
42.33,-6.0779,2.9221,2.9221,2.9735,9.0000,-0.0000,9.0000,2.9682,0.0462,0.0515,-6.0867,-66.0461,-172.4378
42.48,-6.0648,2.9352,2.9352,2.9703,9.0000,-0.0000,9.0000,2.9650,0.0298,0.0351,-6.0736,-65.9179,-172.3161
