freq_Hz,mk2_sum_dB,mk3_sum_dB,mk2_woof_dB,mk3_mid_dB,mk3_tweeter_dB,baffle_step_dB,wg_loading_mk2_dB,wg_loading_mk3_dB
34.54,78.0049,78.0049,77.9572,32.7811,-68.7842,-5.8774,0.1962,0.5012
34.67,78.0364,78.0364,77.9881,32.9034,-68.6620,-5.8764,0.1964,0.5018
34.79,78.0676,78.0676,78.0189,33.0258,-68.5397,-5.8754,0.1966,0.5023
34.91,78.0987,78.0987,78.0495,33.1482,-68.4175,-5.8744,0.1968,0.5028
35.03,78.1297,78.1297,78.0799,33.2705,-68.2953,-5.8734,0.1970,0.5033
35.15,78.1605,78.1605,78.1102,33.3929,-68.1730,-5.8724,0.1972,0.5038
35.28,78.1912,78.1912,78.1403,33.5152,-68.0508,-5.8714,0.1974,0.5043
35.40,78.2216,78.2216,78.1703,33.6376,-67.9286,-5.8704,0.1976,0.5048
35.53,78.2520,78.2520,78.2000,33.7600,-67.8064,-5.8694,0.1978,0.5053
35.65,78.2822,78.2822,78.2297,33.8823,-67.6841,-5.8683,0.1980,0.5059
35.78,78.3122,78.3122,78.2591,34.0047,-67.5619,-5.8673,0.1982,0.5064
35.90,78.3421,78.3421,78.2884,34.1271,-67.4397,-5.8662,0.1984,0.5069
36.03,78.3718,78.3718,78.3176,34.2494,-67.3174,-5.8652,0.1986,0.5074
36.15,78.4013,78.4013,78.3465,34.3718,-67.1952,-5.8641,0.1988,0.5079
36.28,78.4307,78.4307,78.3754,34.4942,-67.0730,-5.8631,0.1990,0.5084
36.41,78.4600,78.4600,78.4040,34.6165,-66.9507,-5.8620,0.1993,0.5089
36.54,78.4891,78.4891,78.4325,34.7389,-66.8285,-5.8609,0.1995,0.5095
36.66,78.5180,78.5180,78.4608,34.8613,-66.7063,-5.8598,0.1997,0.5100
36.79,78.5468,78.5468,78.4890,34.9837,-66.5840,-5.8587,0.1999,0.5105
36.92,78.5755,78.5755,78.5170,35.1060,-66.4618,-5.8576,0.2001,0.5110
37.05,78.6040,78.6040,78.5449,35.2284,-66.3396,-5.8565,0.2003,0.5115
37.18,78.6323,78.6323,78.5726,35.3508,-66.2173,-5.8554,0.2005,0.5120
37.31,78.6605,78.6605,78.6001,35.4732,-66.0951,-5.8543,0.2007,0.5126
37.44,78.6885,78.6885,78.6275,35.5956,-65.9729,-5.8531,0.2009,0.5131
37.57,78.7164,78.7164,78.6547,35.7179,-65.8506,-5.8520,0.2011,0.5136
37.71,78.7441,78.7441,78.6817,35.8403,-65.7284,-5.8509,0.2013,0.5141
37.84,78.7717,78.7717,78.7086,35.9627,-65.6062,-5.8497,0.2015,0.5146
37.97,78.7991,78.7991,78.7353,36.0851,-65.4839,-5.8485,0.2017,0.5152
38.10,78.8264,78.8264,78.7619,36.2075,-65.3617,-5.8474,0.2019,0.5157
38.24,78.8535,78.8535,78.7883,36.3299,-65.2394,-5.8462,0.2021,0.5162
38.37,78.8805,78.8805,78.8145,36.4522,-65.1172,-5.8450,0.2023,0.5167
38.51,78.9073,78.9073,78.8406,36.5746,-64.9950,-5.8438,0.2025,0.5173
38.64,78.9340,78.9340,78.8666,36.6970,-64.8727,-5.8426,0.2028,0.5178
38.78,78.9605,78.9605,78.8923,36.8194,-64.7505,-5.8414,0.2030,0.5183
38.91,78.9869,78.9869,78.9180,36.9418,-64.6282,-5.8402,0.2032,0.5188
39.05,79.0131,79.0131,78.9434,37.0642,-64.5060,-5.8390,0.2034,0.5193
39.19,79.0392,79.0392,78.9687,37.1866,-64.3838,-5.8377,0.2036,0.5199
39.33,79.0651,79.0651,78.9939,37.3090,-64.2615,-5.8365,0.2038,0.5204
39.46,79.0909,79.0909,79.0189,37.4313,-64.1393,-5.8352,0.2040,0.5209
39.60,79.1165,79.1165,79.0437,37.5537,-64.0170,-5.8340,0.2042,0.5214
39.74,79.1420,79.1420,79.0684,37.6761,-63.8948,-5.8327,0.2044,0.5220
39.88,79.1674,79.1674,79.0929,37.7985,-63.7726,-5.8314,0.2046,0.5225
40.02,79.1926,79.1926,79.1172,37.9209,-63.6503,-5.8302,0.2048,0.5230
40.16,79.2177,79.2177,79.1415,38.0433,-63.5281,-5.8289,0.2050,0.5236
40.30,79.2426,79.2426,79.1655,38.1657,-63.4058,-5.8276,0.2053,0.5241
40.44,79.2674,79.2674,79.1894,38.2881,-63.2836,-5.8263,0.2055,0.5246
40.58,79.2920,79.2920,79.2132,38.4105,-63.1613,-5.8249,0.2057,0.5251
40.73,79.3165,79.3165,79.2367,38.5328,-63.0391,-5.8236,0.2059,0.5257
40.87,79.3408,79.3408,79.2602,38.6552,-62.9168,-5.8223,0.2061,0.5262
41.01,79.3650,79.3650,79.2835,38.7776,-62.7946,-5.8210,0.2063,0.5267
41.16,79.3891,79.3891,79.3066,38.9000,-62.6724,-5.8196,0.2065,0.5273
41.30,79.4130,79.4130,79.3296,39.0224,-62.5501,-5.8182,0.2067,0.5278
41.45,79.4368,79.4368,79.3524,39.1448,-62.4279,-5.8169,0.2069,0.5283
41.59,79.4605,79.4605,79.3751,39.2672,-62.3056,-5.8155,0.2071,0.5288
41.74,79.4840,79.4840,79.3976,39.3895,-62.1834,-5.8141,0.2074,0.5294
41.88,79.5074,79.5074,79.4200,39.5119,-62.0611,-5.8127,0.2076,0.5299
42.03,79.5306,79.5306,79.4422,39.6343,-61.9389,-5.8113,0.2078,0.5304
42.18,79.5537,79.5537,79.4643,39.7567,-61.8166,-5.8099,0.2080,0.5310
42.33,79.5767,79.5767,79.4862,39.8790,-61.6944,-5.8085,0.2082,0.5315
42.48,79.5995,79.5995,79.5080,40.0014,-61.5721,-5.8070,0.2084,0.5320
42.63,79.6222,79.6222,79.5297,40.1238,-61.4499,-5.8056,0.2086,0.5326
42.77,79.6447,79.6447,79.5511,40.2462,-61.3276,-5.8042,0.2088,0.5331
42.92,79.6672,79.6672,79.5725,40.3685,-61.2054,-5.8027,0.2090,0.5336
43.08,79.6895,79.6894,79.5937,40.4909,-61.0831,-5.8012,0.2093,0.5342
43.23,79.7116,79.7116,79.6147,40.6133,-60.9609,-5.7998,0.2095,0.5347
43.38,79.7336,79.7336,79.6356,40.7356,-60.8386,-5.7983,0.2097,0.5352
43.53,79.7555,79.7555,79.6564,40.8580,-60.7164,-5.7968,0.2099,0.5358
43.68,79.7773,79.7773,79.6770,40.9804,-60.5941,-5.7953,0.2101,0.5363
43.84,79.7989,79.7989,79.6974,41.1027,-60.4719,-5.7937,0.2103,0.5369
43.99,79.8205,79.8205,79.7177,41.2251,-60.3496,-5.7922,0.2105,0.5374
44.14,79.8418,79.8418,79.7379,41.3474,-60.2274,-5.7907,0.2108,0.5379
44.30,79.8631,79.8631,79.7579,41.4698,-60.1051,-5.7891,0.2110,0.5385
44.46,79.8842,79.8842,79.7778,41.5921,-59.9828,-5.7876,0.2112,0.5390
44.61,79.9052,79.9052,79.7976,41.7145,-59.8606,-5.7860,0.2114,0.5395
44.77,79.9261,79.9261,79.8172,41.8368,-59.7383,-5.7844,0.2116,0.5401
44.92,79.9468,79.9468,79.8366,41.9591,-59.6161,-5.7829,0.2118,0.5406
45.08,79.9675,79.9675,79.8560,42.0815,-59.4938,-5.7813,0.2120,0.5412
45.24,79.9880,79.9880,79.8751,42.2038,-59.3716,-5.7797,0.2122,0.5417
45.40,80.0084,80.0084,79.8942,42.3261,-59.2493,-5.7780,0.2125,0.5422
45.56,80.0286,80.0286,79.9131,42.4484,-59.1271,-5.7764,0.2127,0.5428
45.72,80.0488,80.0488,79.9319,42.5708,-59.0048,-5.7748,0.2129,0.5433
45.88,80.0688,80.0688,79.9505,42.6931,-58.8825,-5.7731,0.2131,0.5439
46.04,80.0887,80.0887,79.9690,42.8154,-58.7603,-5.7715,0.2133,0.5444
46.20,80.1085,80.1085,79.9873,42.9377,-58.6380,-5.7698,0.2135,0.5450
46.36,80.1281,80.1281,80.0055,43.0600,-58.5158,-5.7681,0.2138,0.5455
46.53,80.1477,80.1477,80.0236,43.1823,-58.3935,-5.7664,0.2140,0.5460
46.69,80.1671,80.1671,80.0415,43.3046,-58.2712,-5.7647,0.2142,0.5466
46.85,80.1864,80.1864,80.0593,43.4269,-58.1490,-5.7630,0.2144,0.5471
47.02,80.2056,80.2056,80.0770,43.5492,-58.0267,-5.7613,0.2146,0.5477
47.18,80.2247,80.2247,80.0945,43.6714,-57.9045,-5.7596,0.2148,0.5482
47.35,80.2437,80.2437,80.1119,43.7937,-57.7822,-5.7578,0.2151,0.5488
47.51,80.2625,80.2625,80.1292,43.9160,-57.6599,-5.7561,0.2153,0.5493
47.68,80.2813,80.2813,80.1464,44.0382,-57.5377,-5.7543,0.2155,0.5499
47.85,80.2999,80.2999,80.1634,44.1605,-57.4154,-5.7525,0.2157,0.5504
48.02,80.3184,80.3184,80.1802,44.2827,-57.2931,-5.7507,0.2159,0.5510
48.19,80.3368,80.3368,80.1970,44.4050,-57.1709,-5.7489,0.2161,0.5515
48.35,80.3551,80.3551,80.2136,44.5272,-57.0486,-5.7471,0.2164,0.5520
48.52,80.3733,80.3733,80.2301,44.6494,-56.9264,-5.7453,0.2166,0.5526
48.69,80.3914,80.3914,80.2464,44.7717,-56.8041,-5.7435,0.2168,0.5531
48.87,80.4094,80.4094,80.2626,44.8939,-56.6818,-5.7416,0.2170,0.5537
