freq_Hz,harman_inroom_dB,bbc_inroom_dB,harman_target_dB,bbc_target_dB,harman_postdsp_dB,bbc_postdsp_dB
140.27,1.3154,0.5579,1.1794,0.8360,1.1756,0.8310
140.76,1.3129,0.5578,1.1740,0.8326,1.1699,0.8273
141.25,1.3105,0.5578,1.1685,0.8291,1.1644,0.8237
141.75,1.3082,0.5579,1.1631,0.8256,1.1589,0.8202
142.25,1.3061,0.5581,1.1576,0.8221,1.1535,0.8168
142.75,1.3040,0.5585,1.1522,0.8187,1.1482,0.8134
143.25,1.3020,0.5590,1.1468,0.8152,1.1430,0.8102
143.75,1.3001,0.5596,1.1414,0.8118,1.1378,0.8069
144.26,1.2984,0.5603,1.1360,0.8083,1.1327,0.8038
144.76,1.2967,0.5612,1.1306,0.8049,1.1277,0.8007
145.27,1.2951,0.5621,1.1253,0.8014,1.1227,0.7977
145.78,1.2936,0.5632,1.1199,0.7980,1.1179,0.7947
146.29,1.2921,0.5643,1.1146,0.7945,1.1130,0.7918
146.80,1.2908,0.5655,1.1093,0.7911,1.1083,0.7890
147.32,1.2895,0.5669,1.1040,0.7877,1.1036,0.7862
147.84,1.2883,0.5683,1.0987,0.7842,1.0990,0.7836
148.36,1.2872,0.5698,1.0934,0.7808,1.0945,0.7809
148.88,1.2861,0.5714,1.0882,0.7774,1.0901,0.7784
149.40,1.2851,0.5731,1.0829,0.7740,1.0857,0.7760
149.92,1.2842,0.5749,1.0777,0.7706,1.0815,0.7736
150.45,1.2833,0.5767,1.0725,0.7672,1.0773,0.7713
150.98,1.2824,0.5786,1.0673,0.7638,1.0732,0.7690
151.51,1.2802,0.5790,1.0621,0.7604,1.0677,0.7654
152.04,1.2779,0.5793,1.0569,0.7570,1.0622,0.7616
152.57,1.2755,0.5795,1.0517,0.7536,1.0567,0.7578
153.11,1.2731,0.5798,1.0466,0.7502,1.0513,0.7541
153.64,1.2707,0.5801,1.0415,0.7469,1.0459,0.7505
154.18,1.2683,0.5804,1.0363,0.7435,1.0406,0.7468
154.73,1.2659,0.5807,1.0312,0.7401,1.0353,0.7433
155.27,1.2635,0.5810,1.0261,0.7368,1.0301,0.7398
