freq_hz,mk2_system_db,mk3_system_db,difference_db,mk2_tweeter_db,mk3_tweeter_db,mk2_mid_db,mk3_mid_db
311.53,94.3948,94.3726,0.0222,18.4304,36.6105,94.3776,94.3553
320.66,94.4426,94.4177,0.0249,19.8571,37.9384,94.4287,94.4038
330.07,94.5310,94.5030,0.0279,21.3284,39.4303,94.5203,94.4923
339.75,94.6452,94.6139,0.0313,22.8290,41.0320,94.6373,94.6059
349.71,94.6633,94.6282,0.0352,24.2741,42.6457,94.6572,94.6220
359.96,94.6127,94.5733,0.0394,25.6797,44.2672,94.6079,94.5683
370.52,94.5338,94.4896,0.0442,27.0971,45.6693,94.5299,94.4856
381.39,94.4333,94.3838,0.0496,28.5223,46.9119,94.4302,94.3805
392.57,94.3310,94.2754,0.0555,29.9394,48.2713,94.3285,94.2728
404.08,94.2263,94.1640,0.0622,31.3498,49.7173,94.2244,94.1619
415.93,94.1145,94.0448,0.0697,32.7352,50.9558,94.1131,94.0431
428.13,93.9966,93.9185,0.0781,34.1008,52.0322,93.9954,93.9171
440.68,93.8333,93.7459,0.0874,35.4310,53.2351,93.8323,93.7446
453.61,93.6328,93.5351,0.0977,36.7323,54.5388,93.6320,93.5337
466.91,93.4748,93.3656,0.1092,38.0337,55.8850,93.4741,93.3641
480.60,93.3514,93.2293,0.1220,39.3348,57.2656,93.3508,93.2277
494.69,93.2777,93.1415,0.1362,40.6816,58.7464,93.2772,93.1395
509.20,93.2461,93.0944,0.1517,42.0671,60.3123,93.2458,93.0918
524.13,93.1843,93.0154,0.1690,43.5159,61.6887,93.1841,93.0120
539.50,93.0951,92.9070,0.1880,45.0202,62.8958,93.0949,92.9026
555.32,93.0145,92.8056,0.2089,46.5213,64.1257,93.0143,92.7996
571.61,92.9415,92.7098,0.2317,48.0191,65.3753,92.9412,92.7017
588.37,92.7718,92.5157,0.2561,49.4265,66.6411,92.7715,92.5044
605.62,92.5096,92.2279,0.2818,50.7475,67.9212,92.5092,92.2116
623.38,92.1918,91.8830,0.3088,52.0489,69.1001,92.1913,91.8599
641.66,91.8186,91.4818,0.3368,53.3305,70.1786,91.8180,91.4494
660.48,91.6316,91.2650,0.3666,54.6438,71.2669,91.6307,91.2213
679.85,91.6334,91.2345,0.3989,55.9888,72.3645,91.6322,91.1778
699.78,91.6056,91.1775,0.4281,57.3513,73.6347,91.6040,91.1003
720.30,91.5466,91.0970,0.4496,58.7319,75.0860,91.5443,90.9868
741.43,91.3164,90.8559,0.4605,60.1328,76.4135,91.3131,90.6968
763.17,90.9003,90.4472,0.4532,61.5557,77.6066,90.8953,90.2153
785.55,90.5650,90.1334,0.4316,62.8842,78.7108,90.5576,89.8085
808.58,90.3209,89.9222,0.3987,64.1067,79.7158,90.3105,89.4869
