freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
13284.12,-153.4585,-102.0325,0.0049,0.0050
13330.74,-153.5801,-102.2758,0.0203,0.0204
13377.53,-153.7018,-102.5194,0.0121,0.0121
13424.47,-153.8235,-102.7635,0.0038,0.0039
13471.58,-153.9452,-103.0080,-0.0045,-0.0044
13518.86,-154.0669,-103.2530,-0.0128,-0.0127
13566.31,-154.1886,-103.4984,-0.0211,-0.0210
13613.92,-154.3103,-103.7442,-0.0295,-0.0294
13661.69,-154.4320,-103.9904,-0.0379,-0.0378
13709.64,-154.5537,-104.2161,-0.0463,-0.0462
13757.75,-154.6754,-104.4384,-0.0547,-0.0547
13806.03,-154.7971,-104.6611,-0.0632,-0.0632
13854.48,-154.9188,-104.8841,-0.0717,-0.0717
13903.11,-155.0405,-105.1075,-0.0803,-0.0802
13951.90,-155.1622,-105.3313,-0.0889,-0.0888
14000.86,-155.2839,-105.5554,-0.0975,-0.0974
14050.00,-155.4056,-105.7798,-0.1061,-0.1061
14099.30,-155.5273,-106.0047,-0.1148,-0.1147
14148.78,-155.6490,-106.2299,-0.1363,-0.1363
14198.44,-155.7707,-106.4554,-0.1658,-0.1657
14248.27,-155.8924,-106.6813,-0.1953,-0.1952
14298.27,-156.0140,-106.9076,-0.2249,-0.2249
14348.45,-156.1357,-107.1343,-0.2546,-0.2546
14398.80,-156.2574,-107.3613,-0.2845,-0.2844
14449.33,-156.3791,-107.5887,-0.3144,-0.3144
14500.04,-156.5008,-107.7928,-0.3445,-0.3444
14550.93,-156.6225,-107.9559,-0.3746,-0.3746
14602.00,-156.7442,-108.1191,-0.4049,-0.4048
14653.24,-156.8659,-108.2824,-0.4352,-0.4352
14704.66,-156.9876,-108.4459,-0.4657,-0.4657
14756.27,-157.1093,-108.6096,-0.4963,-0.4962
14808.06,-157.2310,-108.7734,-0.5270,-0.5269
14860.02,-157.3527,-108.9373,-0.5577,-0.5577
14912.17,-157.4744,-109.1014,-0.5886,-0.5886
14964.51,-157.5961,-109.2657,-0.6180,-0.6179
15017.02,-157.7178,-109.4301,-0.6180,-0.6179
15069.72,-157.8395,-109.5946,-0.6180,-0.6179
15122.61,-157.9612,-109.7593,-0.6180,-0.6179
15175.68,-158.0828,-109.9241,-0.6179,-0.6179
15228.94,-158.2045,-110.0891,-0.6179,-0.6179
15282.39,-158.3262,-110.2543,-0.6179,-0.6179
15336.02,-158.4479,-110.4196,-0.6179,-0.6179
15389.84,-158.5696,-110.7122,-0.6179,-0.6179
15443.85,-158.6913,-111.0233,-0.6179,-0.6179
15498.05,-158.8130,-111.3351,-0.6179,-0.6179
15552.44,-158.9347,-111.6476,-0.6179,-0.6179
15607.02,-159.0564,-111.9607,-0.6179,-0.6179
15661.79,-159.1781,-112.2746,-0.6179,-0.6179
15716.75,-159.2998,-112.5890,-0.6179,-0.6179
15771.91,-159.4215,-112.9042,-0.6179,-0.6179
15827.26,-159.5432,-113.2201,-0.6179,-0.6179
15882.80,-159.6649,-113.5366,-0.6037,-0.6037
15938.54,-159.7865,-113.8538,-0.5743,-0.5743
15994.48,-159.9082,-114.1717,-0.5448,-0.5447
16050.61,-160.0299,-114.4903,-0.5151,-0.5151
16106.94,-160.1516,-114.8096,-0.4854,-0.4854
16163.46,-160.2733,-115.1295,-0.4556,-0.4556
16220.19,-160.3950,-115.4502,-0.4257,-0.4256
16277.11,-160.5167,-115.7649,-0.3956,-0.3956
16334.24,-160.6384,-116.0698,-0.3655,-0.3655
16391.56,-160.7601,-116.3754,-0.3352,-0.3352
16449.08,-160.8818,-116.6816,-0.3049,-0.3049
16506.81,-161.0035,-116.9884,-0.2744,-0.2744
16564.74,-161.1251,-117.2959,-0.2439,-0.2438
16622.87,-161.2468,-117.6041,-0.2132,-0.2132
16681.21,-161.3685,-117.9129,-0.1824,-0.1824
16739.75,-161.4902,-118.2223,-0.1515,-0.1515
16798.50,-161.6119,-118.5325,-0.1205,-0.1205
16857.45,-161.7336,-118.8432,-0.1442,-0.1442
16916.61,-161.8553,-119.1547,-0.1731,-0.1730
16975.98,-161.9770,-119.4668,-0.2020,-0.2020
17035.56,-162.0987,-119.7796,-0.2311,-0.2311
17095.34,-162.2203,-120.0930,-0.2602,-0.2602
17155.34,-162.3420,-120.4072,-0.2895,-0.2895
17215.54,-162.4637,-120.7219,-0.3189,-0.3189
17275.96,-162.5854,-120.6877,-0.3484,-0.3484
17336.59,-162.7071,-120.6140,-0.3779,-0.3779
17397.43,-162.8288,-120.5396,-0.4076,-0.4076
17458.48,-162.9505,-120.4646,-0.4374,-0.4374
17519.75,-163.0721,-120.3889,-0.4673,-0.4673
17581.24,-163.1938,-120.3124,-0.4973,-0.4973
17642.94,-163.3155,-120.2353,-0.5274,-0.5274
17704.85,-163.4372,-120.1575,-0.5576,-0.5576
17766.99,-163.5589,-120.0790,-0.5879,-0.5879
17829.34,-163.6806,-119.9998,-0.6121,-0.6121
17891.91,-163.8023,-119.9198,-0.6244,-0.6244
