freq_Hz,on_axis,LW,ER,SP,DI,PIR
1481.731,0.0000,-0.9695,-7.3105,-5.7271,5.7271,-1.9809
1495.469,0.0000,-1.0209,-7.8718,-6.0975,6.0975,-2.0565
1509.335,0.0000,-1.0717,-8.4571,-6.4704,6.4704,-2.1275
1523.328,0.0000,-1.1216,-9.0643,-6.8425,6.8425,-2.1936
1537.452,0.0000,-1.1701,-9.6905,-7.2100,7.2100,-2.2544
1551.706,0.0000,-1.2169,-10.3321,-7.5691,7.5691,-2.3098
1566.093,0.0000,-1.2616,-10.9847,-7.9158,7.9158,-2.3598
1580.613,0.0000,-1.3038,-11.6429,-8.2466,8.2466,-2.4043
1595.268,0.0000,-1.3432,-12.3009,-8.5579,8.5579,-2.4436
1610.058,0.0000,-1.3796,-12.9519,-8.8470,8.8470,-2.4779
1624.986,0.0000,-1.4128,-13.5891,-9.1116,9.1116,-2.5077
1640.052,0.0000,-1.4425,-14.2053,-9.3504,9.3504,-2.5331
1655.258,0.0000,-1.4689,-14.7937,-9.5629,9.5629,-2.5548
1670.605,0.0000,-1.4919,-15.3482,-9.7492,9.7492,-2.5730
1686.094,0.0000,-1.5116,-15.8641,-9.9103,9.9103,-2.5881
1701.726,0.0000,-1.5283,-16.3378,-10.0479,10.0479,-2.6007
1717.504,0.0000,-1.5423,-16.7680,-10.1641,10.1641,-2.6110
1733.428,0.0000,-1.5539,-17.1547,-10.2612,10.2612,-2.6195
1749.499,0.0000,-1.5636,-17.5000,-10.3419,10.3419,-2.6264
1765.720,0.0000,-1.5718,-17.8068,-10.4087,10.4087,-2.6320
1782.091,0.0000,-1.5789,-18.0789,-10.4638,10.4638,-2.6366
1798.613,0.0000,-1.5856,-18.3195,-10.5094,10.5094,-2.6403
1815.289,0.0000,-1.5919,-18.5423,-10.5494,10.5494,-2.6435
1832.120,0.0000,-1.5981,-18.7633,-10.5876,10.5876,-2.6466
1849.106,0.0000,-1.6040,-18.9824,-10.6240,10.6240,-2.6495
1866.250,0.0000,-1.6098,-19.1997,-10.6588,10.6588,-2.6523
1883.553,0.0000,-1.6154,-19.4148,-10.6920,10.6920,-2.6549
1901.017,0.0000,-1.6208,-19.6279,-10.7237,10.7237,-2.6574
1918.642,0.0000,-1.6260,-19.8386,-10.7539,10.7539,-2.6597
1936.431,0.0000,-1.6310,-20.0471,-10.7827,10.7827,-2.6620
1954.384,0.0000,-1.6359,-20.2530,-10.8101,10.8101,-2.6641
1972.504,0.0000,-1.6406,-20.4564,-10.8362,10.8362,-2.6661
1990.792,0.0000,-1.6452,-20.6571,-10.8610,10.8610,-2.6680
2009.250,0.0000,-1.6496,-20.8550,-10.8847,10.8847,-2.6698
2027.879,0.0000,-1.6538,-21.0501,-10.9072,10.9072,-2.6714
2046.680,0.0000,-1.6579,-21.2422,-10.9286,10.9286,-2.6730
2065.656,0.0000,-1.6619,-21.4314,-10.9489,10.9489,-2.6746
2084.808,0.0000,-1.6657,-21.6174,-10.9683,10.9683,-2.6760
2104.137,0.0000,-1.6693,-21.8003,-10.9867,10.9867,-2.6774
2123.646,0.0000,-1.6729,-21.9799,-11.0042,11.0042,-2.6787
2143.335,0.0000,-1.6763,-22.1561,-11.0208,11.0208,-2.6799
2163.207,0.0000,-1.6796,-22.3291,-11.0366,11.0366,-2.6810
2183.263,0.0000,-1.6827,-22.4985,-11.0516,11.0516,-2.6821
2203.506,0.0000,-1.6858,-22.6645,-11.0659,11.0659,-2.6832
2223.935,0.0000,-1.6887,-22.8270,-11.0794,11.0794,-2.6841
2244.555,0.0000,-1.6915,-22.9859,-11.0922,11.0922,-2.6851
2265.365,0.0000,-1.6942,-23.1412,-11.1044,11.1044,-2.6859
2286.369,0.0000,-1.6968,-23.2928,-11.1160,11.1160,-2.6868
2307.567,0.0000,-1.6993,-23.4408,-11.1270,11.1270,-2.6876
2328.961,0.0000,-1.7017,-23.5851,-11.1375,11.1375,-2.6883
2350.554,0.0000,-1.7040,-23.7257,-11.1474,11.1474,-2.6890
2372.347,0.0000,-1.7062,-23.8626,-11.1568,11.1568,-2.6897
2394.343,0.0000,-1.7083,-23.9958,-11.1657,11.1657,-2.6903
2416.542,0.0000,-1.7104,-24.1253,-11.1742,11.1742,-2.6909
2438.947,0.0000,-1.7123,-24.2510,-11.1822,11.1822,-2.6915
2461.560,0.0000,-1.7142,-24.3731,-11.1899,11.1899,-2.6920
2484.382,0.0000,-1.7160,-24.4914,-11.1971,11.1971,-2.6925
2507.416,0.0000,-1.7177,-24.6062,-11.2040,11.2040,-2.6930
2530.664,0.0000,-1.7193,-24.7173,-11.2105,11.2105,-2.6935
2554.127,0.0000,-1.7209,-24.8247,-11.2167,11.2167,-2.6939
2577.807,0.0000,-1.7224,-24.9287,-11.2225,11.2225,-2.6943
2601.707,0.0000,-1.7239,-25.0291,-11.2281,11.2281,-2.6947
2625.829,0.0000,-1.7253,-25.1260,-11.2333,11.2333,-2.6951
2650.175,0.0000,-1.7266,-25.2195,-11.2383,11.2383,-2.6954
2674.746,0.0000,-1.7278,-25.3096,-11.2431,11.2431,-2.6958
2699.545,0.0000,-1.7290,-25.3963,-11.2475,11.2475,-2.6961
2724.574,0.0000,-1.7302,-25.4798,-11.2518,11.2518,-2.6964
2749.834,0.0000,-1.7313,-25.5600,-11.2558,11.2558,-2.6967
2775.330,0.0000,-1.7323,-25.6371,-11.2596,11.2596,-2.6969
2801.061,0.0000,-1.7333,-25.7111,-11.2632,11.2632,-2.6972
2827.031,0.0000,-1.7343,-25.7821,-11.2667,11.2667,-2.6974
2853.242,0.0000,-1.7352,-25.8501,-11.2699,11.2699,-2.6976
2879.696,0.0000,-1.7361,-25.9152,-11.2729,11.2729,-2.6979
2906.395,0.0000,-1.7369,-25.9775,-11.2758,11.2758,-2.6981
2933.342,0.0000,-1.7377,-26.0370,-11.2786,11.2786,-2.6982
2960.538,0.0000,-1.7384,-26.0938,-11.2812,11.2812,-2.6984
2987.987,0.0000,-1.7391,-26.1481,-11.2836,11.2836,-2.6986
3015.690,0.0000,-1.7398,-26.1998,-11.2859,11.2859,-2.6988
3043.650,0.0000,-1.7405,-26.2490,-11.2881,11.2881,-2.6989
3071.869,0.0000,-1.7411,-26.2958,-11.2902,11.2902,-2.6990
3100.350,0.0000,-1.7416,-26.3404,-11.2921,11.2921,-2.6992
3129.095,0.0000,-1.7422,-26.3827,-11.2939,11.2939,-2.6993
3158.107,0.0000,-1.7427,-26.4228,-11.2956,11.2956,-2.6994
3187.387,0.0000,-1.7432,-26.4608,-11.2973,11.2973,-2.6995
3216.939,0.0000,-1.7437,-26.4968,-11.2988,11.2988,-2.6996
3246.765,0.0000,-1.7441,-26.5308,-11.3002,11.3002,-2.6997
3276.867,0.0000,-1.7445,-26.5630,-11.3016,11.3016,-2.6998
3307.249,0.0000,-1.7449,-26.5933,-11.3028,11.3028,-2.6999
3337.912,0.0000,-1.7453,-26.6219,-11.3040,11.3040,-2.7000
3368.860,0.0000,-1.7456,-26.6488,-11.3051,11.3051,-2.7001
3400.094,0.0000,-1.7459,-26.6741,-11.3062,11.3062,-2.7002
3431.618,0.0000,-1.7462,-26.6978,-11.3071,11.3071,-2.7002
3463.434,0.0000,-1.7465,-26.7201,-11.3080,11.3080,-2.7003
3495.546,0.0000,-1.7468,-26.7409,-11.3089,11.3089,-2.7003
3527.955,0.0000,-1.7471,-26.7604,-11.3097,11.3097,-2.7004
3560.664,0.0000,-1.7473,-26.7786,-11.3104,11.3104,-2.7004
3593.677,0.0000,-1.7475,-26.7955,-11.3111,11.3111,-2.7005
3626.996,0.0000,-1.7477,-26.8045,-11.3117,11.3117,-2.7005
3660.623,0.0000,-1.7479,-26.8119,-11.3123,11.3123,-2.7006
3694.563,0.0000,-1.7481,-26.8189,-11.3128,11.3128,-2.7006
3728.817,0.0000,-1.7482,-26.8254,-11.3133,11.3133,-2.7006
3763.389,0.0000,-1.7484,-26.8316,-11.3138,11.3138,-2.7007
3798.281,0.0000,-1.7485,-26.8374,-11.3142,11.3142,-2.7007
3833.497,0.0000,-1.7487,-26.8428,-11.3145,11.3145,-2.7007
3869.039,0.0000,-1.7488,-26.8479,-11.3148,11.3148,-2.7007
3904.911,0.0000,-1.7489,-26.8526,-11.3151,11.3151,-2.7008
3941.116,0.0000,-1.7490,-26.8571,-11.3154,11.3154,-2.7008
3977.656,0.0000,-1.7491,-26.8612,-11.3156,11.3156,-2.7008
4014.535,0.0000,-1.7491,-26.8651,-11.3158,11.3158,-2.7008
4051.755,0.0000,-1.7492,-26.8687,-11.3159,11.3159,-2.7008
4089.321,0.0000,-1.7493,-26.8720,-11.3160,11.3160,-2.7008
4127.236,0.0000,-1.7493,-26.8751,-11.3161,11.3161,-2.7008
4165.501,0.0000,-1.7494,-26.8754,-11.3162,11.3162,-2.7008
4204.122,0.0000,-1.7494,-26.8693,-11.3163,11.3163,-2.7008
4243.100,0.0000,-1.7494,-26.8639,-11.3163,11.3163,-2.7008
4282.440,0.0000,-1.7494,-26.8590,-11.3163,11.3163,-2.7008
4322.145,0.0000,-1.7495,-26.8546,-11.3163,11.3163,-2.7008
4362.218,0.0000,-1.7495,-26.8506,-11.3163,11.3163,-2.7008
4402.662,0.0000,-1.7495,-26.8472,-11.3162,11.3162,-2.7008
4443.482,0.0000,-1.7495,-26.8441,-11.3162,11.3162,-2.7008
4484.679,0.0000,-1.7495,-26.8414,-11.3161,11.3161,-2.7008
4526.259,0.0000,-1.7495,-26.8391,-11.3160,11.3160,-2.7008
4568.224,0.0000,-1.7495,-26.8372,-11.3159,11.3159,-2.7008
4610.579,0.0000,-1.7495,-26.8356,-11.3158,11.3158,-2.7008
4653.326,0.0000,-1.7494,-26.8342,-11.3157,11.3157,-2.7008
4696.469,0.0000,-1.7494,-26.8332,-11.3156,11.3156,-2.7008
4740.013,0.0000,-1.7494,-26.8323,-11.3154,11.3154,-2.7008
4783.960,0.0000,-1.7494,-26.8318,-11.3153,11.3153,-2.7008
4828.314,0.0000,-1.7493,-26.8314,-11.3152,11.3152,-2.7008
4873.080,0.0000,-1.7493,-26.8313,-11.3150,11.3150,-2.7008
4918.261,0.0000,-1.7493,-26.8313,-11.3149,11.3149,-2.7008
4963.861,0.0000,-1.7492,-26.8315,-11.3147,11.3147,-2.7007
5009.883,0.0000,-1.7492,-26.8318,-11.3146,11.3146,-2.7007
5056.332,0.0000,-1.7491,-26.8323,-11.3144,11.3144,-2.7007
5103.212,0.0000,-1.7491,-26.8329,-11.3143,11.3143,-2.7007
5150.527,0.0000,-1.7490,-26.8336,-11.3141,11.3141,-2.7007
5198.280,0.0000,-1.7490,-26.8344,-11.3140,11.3140,-2.7007
5246.476,0.0000,-1.7489,-26.8352,-11.3138,11.3138,-2.7007
5295.119,0.0000,-1.7489,-26.8362,-11.3137,11.3137,-2.7007
5344.212,0.0000,-1.7488,-26.8372,-11.3135,11.3135,-2.7007
5393.761,0.0000,-1.7488,-26.8383,-11.3133,11.3133,-2.7006
5443.770,0.0000,-1.7487,-26.8394,-11.3132,11.3132,-2.7006
5494.242,0.0000,-1.7487,-26.8406,-11.3130,11.3130,-2.7006
