crossover_Hz,freq_Hz,theta_deg,spl_norm_dB
1100,949.58,45.0,-3.7787
1100,949.58,50.0,-4.5254
1100,949.58,55.0,-5.2746
1100,949.58,60.0,-5.9971
1100,949.58,65.0,-6.6622
1100,949.58,70.0,-7.2405
1100,949.58,75.0,-7.7083
1100,949.58,80.0,-8.0496
1100,949.58,85.0,-8.2562
1100,949.58,90.0,-8.3252
1100,970.95,-90.0,-9.4606
1100,970.95,-85.0,-9.3761
1100,970.95,-80.0,-9.1237
1100,970.95,-75.0,-8.7083
1100,970.95,-70.0,-8.1433
1100,970.95,-65.0,-7.4523
1100,970.95,-60.0,-6.6685
1100,970.95,-55.0,-5.8295
1100,970.95,-50.0,-4.9724
1100,970.95,-45.0,-4.1298
1100,970.95,-40.0,-3.3283
1100,970.95,-35.0,-2.5882
1100,970.95,-30.0,-1.9249
1100,970.95,-25.0,-1.3495
1100,970.95,-20.0,-0.8699
1100,970.95,-15.0,-0.4919
1100,970.95,-10.0,-0.2194
1100,970.95,-5.0,-0.0550
1100,970.95,0.0,0.0000
1100,970.95,5.0,-0.0550
1100,970.95,10.0,-0.2194
1100,970.95,15.0,-0.4919
1100,970.95,20.0,-0.8699
1100,970.95,25.0,-1.3495
1100,970.95,30.0,-1.9249
1100,970.95,35.0,-2.5882
1100,970.95,40.0,-3.3283
1100,970.95,45.0,-4.1298
1100,970.95,50.0,-4.9724
1100,970.95,55.0,-5.8295
1100,970.95,60.0,-6.6685
1100,970.95,65.0,-7.4523
1100,970.95,70.0,-8.1433
1100,970.95,75.0,-8.7083
1100,970.95,80.0,-9.1237
1100,970.95,85.0,-9.3761
1100,970.95,90.0,-9.4606
1100,992.32,-90.0,-10.7830
1100,992.32,-85.0,-10.6772
1100,992.32,-80.0,-10.3622
1100,992.32,-75.0,-9.8474
1100,992.32,-70.0,-9.1551
1100,992.32,-65.0,-8.3216
1100,992.32,-60.0,-7.3931
1100,992.32,-55.0,-6.4177
1100,992.32,-50.0,-5.4387
1100,992.32,-45.0,-4.4912
1100,992.32,-40.0,-3.6017
1100,992.32,-35.0,-2.7893
1100,992.32,-30.0,-2.0674
1100,992.32,-25.0,-1.4454
1100,992.32,-20.0,-0.9298
1100,992.32,-15.0,-0.5250
1100,992.32,-10.0,-0.2339
1100,992.32,-5.0,-0.0586
1100,992.32,0.0,0.0000
1100,992.32,5.0,-0.0586
1100,992.32,10.0,-0.2339
1100,992.32,15.0,-0.5250
1100,992.32,20.0,-0.9298
1100,992.32,25.0,-1.4454
1100,992.32,30.0,-2.0674
1100,992.32,35.0,-2.7893
1100,992.32,40.0,-3.6017
1100,992.32,45.0,-4.4912
1100,992.32,50.0,-5.4387
1100,992.32,55.0,-6.4177
1100,992.32,60.0,-7.3931
1100,992.32,65.0,-8.3216
1100,992.32,70.0,-9.1551
1100,992.32,75.0,-9.8474
1100,992.32,80.0,-10.3622
1100,992.32,85.0,-10.6772
1100,992.32,90.0,-10.7830
1100,1013.69,-90.0,-12.3510
1100,1013.69,-85.0,-12.2145
1100,1013.69,-80.0,-11.8099
1100,1013.69,-75.0,-11.1563
1100,1013.69,-70.0,-10.2926
1100,1013.69,-65.0,-9.2758
1100,1013.69,-60.0,-8.1702
1100,1013.69,-55.0,-7.0356
1100,1013.69,-50.0,-5.9201
1100,1013.69,-45.0,-4.8592
1100,1013.69,-40.0,-3.8771
1100,1013.69,-35.0,-2.9902
1100,1013.69,-30.0,-2.2089
1100,1013.69,-25.0,-1.5403
1100,1013.69,-20.0,-0.9888
1100,1013.69,-15.0,-0.5574
1100,1013.69,-10.0,-0.2481
1100,1013.69,-5.0,-0.0621
1100,1013.69,0.0,0.0000
1100,1013.69,5.0,-0.0621
1100,1013.69,10.0,-0.2481
1100,1013.69,15.0,-0.5574
1100,1013.69,20.0,-0.9888
1100,1013.69,25.0,-1.5403
1100,1013.69,30.0,-2.2089
1100,1013.69,35.0,-2.9902
1100,1013.69,40.0,-3.8771
1100,1013.69,45.0,-4.8592
1100,1013.69,50.0,-5.9201
1100,1013.69,55.0,-7.0356
1100,1013.69,60.0,-8.1702
1100,1013.69,65.0,-9.2758
1100,1013.69,70.0,-10.2926
1100,1013.69,75.0,-11.1563
1100,1013.69,80.0,-11.8099
1100,1013.69,85.0,-12.2145
1100,1013.69,90.0,-12.3510
1100,1035.06,-90.0,-14.2573
1100,1035.06,-85.0,-14.0729
1100,1035.06,-80.0,-13.5316
1100,1035.06,-75.0,-12.6744
1100,1035.06,-70.0,-11.5730
1100,1035.06,-65.0,-10.3175
1100,1035.06,-60.0,-8.9955
1100,1035.06,-55.0,-7.6768
1100,1035.06,-50.0,-6.4108
1100,1035.06,-45.0,-5.2291
1100,1035.06,-40.0,-4.1513
1100,1035.06,-35.0,-3.1887
1100,1035.06,-30.0,-2.3481
1100,1035.06,-25.0,-1.6332
1100,1035.06,-20.0,-1.0465
1100,1035.06,-15.0,-0.5891
1100,1035.06,-10.0,-0.2620
1100,1035.06,-5.0,-0.0655
1100,1035.06,0.0,0.0000
1100,1035.06,5.0,-0.0655
1100,1035.06,10.0,-0.2620
1100,1035.06,15.0,-0.5891
1100,1035.06,20.0,-1.0465
1100,1035.06,25.0,-1.6332
1100,1035.06,30.0,-2.3481
1100,1035.06,35.0,-3.1887
1100,1035.06,40.0,-4.1513
1100,1035.06,45.0,-5.2291
1100,1035.06,50.0,-6.4108
1100,1035.06,55.0,-7.6768
1100,1035.06,60.0,-8.9955
1100,1035.06,65.0,-10.3175
1100,1035.06,70.0,-11.5730
1100,1035.06,75.0,-12.6744
1100,1035.06,80.0,-13.5316
1100,1035.06,85.0,-14.0729
1100,1035.06,90.0,-14.2573
1100,1056.43,-90.0,-16.6534
1100,1056.43,-85.0,-16.3868
1100,1056.43,-80.0,-15.6194
1100,1056.43,-75.0,-14.4466
1100,1056.43,-70.0,-13.0067
1100,1056.43,-65.0,-11.4403
1100,1056.43,-60.0,-9.8574
1100,1056.43,-55.0,-8.3308
1100,1056.43,-50.0,-6.9026
1100,1056.43,-45.0,-5.5955
1100,1056.43,-40.0,-4.4205
1100,1056.43,-35.0,-3.3825
1100,1056.43,-30.0,-2.4833
1100,1056.43,-25.0,-1.7233
1100,1056.43,-20.0,-1.1023
1100,1056.43,-15.0,-0.6197
1100,1056.43,-10.0,-0.2753
1100,1056.43,-5.0,-0.0688
1100,1056.43,0.0,0.0000
1100,1056.43,5.0,-0.0688
1100,1056.43,10.0,-0.2753
1100,1056.43,15.0,-0.6197
1100,1056.43,20.0,-1.1023
1100,1056.43,25.0,-1.7233
1100,1056.43,30.0,-2.4833
1100,1056.43,35.0,-3.3825
1100,1056.43,40.0,-4.4205
1100,1056.43,45.0,-5.5955
1100,1056.43,50.0,-6.9026
1100,1056.43,55.0,-8.3308
1100,1056.43,60.0,-9.8574
1100,1056.43,65.0,-11.4403
1100,1056.43,70.0,-13.0067
1100,1056.43,75.0,-14.4466
1100,1056.43,80.0,-15.6194
1100,1056.43,85.0,-16.3868
1100,1056.43,90.0,-16.6534
1100,1077.80,-90.0,-19.7794
1100,1077.80,-85.0,-19.3539
1100,1077.80,-80.0,-18.1777
1100,1077.80,-75.0,-16.4964
1100,1077.80,-70.0,-14.5766
1100,1077.80,-65.0,-12.6168
1100,1077.80,-60.0,-10.7327
1100,1077.80,-55.0,-8.9809
1100,1077.80,-50.0,-7.3848
1100,1077.80,-45.0,-5.9515
1100,1077.80,-40.0,-4.6807
1100,1077.80,-35.0,-3.5692
1100,1077.80,-30.0,-2.6133
1100,1077.80,-25.0,-1.8098
1100,1077.80,-20.0,-1.1558
1100,1077.80,-15.0,-0.6491
1100,1077.80,-10.0,-0.2882
1100,1077.80,-5.0,-0.0720
1100,1077.80,0.0,0.0000
1100,1077.80,5.0,-0.0720
1100,1077.80,10.0,-0.2882
1100,1077.80,15.0,-0.6491
1100,1077.80,20.0,-1.1558
1100,1077.80,25.0,-1.8098
1100,1077.80,30.0,-2.6133
1100,1077.80,35.0,-3.5692
1100,1077.80,40.0,-4.6807
1100,1077.80,45.0,-5.9515
1100,1077.80,50.0,-7.3848
1100,1077.80,55.0,-8.9809
1100,1077.80,60.0,-10.7327
1100,1077.80,65.0,-12.6168
1100,1077.80,70.0,-14.5766
1100,1077.80,75.0,-16.4964
1100,1077.80,80.0,-18.1777
1100,1077.80,85.0,-19.3539
1100,1077.80,90.0,-19.7794
1100,1099.17,-90.0,-23.7360
1100,1099.17,-85.0,-23.0045
1100,1099.17,-80.0,-21.1255
1100,1099.17,-75.0,-18.7015
1100,1099.17,-70.0,-16.1791
1100,1099.17,-65.0,-13.7779
1100,1099.17,-60.0,-11.5794
1100,1099.17,-55.0,-9.6030
1100,1099.17,-50.0,-7.8437
1100,1099.17,-45.0,-6.2894
1100,1099.17,-40.0,-4.9274
1100,1099.17,-35.0,-3.7462
1100,1099.17,-30.0,-2.7367
1100,1099.17,-25.0,-1.8919
1100,1099.17,-20.0,-1.2066
1100,1099.17,-15.0,-0.6770
1100,1099.17,-10.0,-0.3003
1100,1099.17,-5.0,-0.0750
1100,1099.17,0.0,0.0000
1100,1099.17,5.0,-0.0750
1100,1099.17,10.0,-0.3003
1100,1099.17,15.0,-0.6770
1100,1099.17,20.0,-1.2066
1100,1099.17,25.0,-1.8919
1100,1099.17,30.0,-2.7367
1100,1099.17,35.0,-3.7462
1100,1099.17,40.0,-4.9274
1100,1099.17,45.0,-6.2894
1100,1099.17,50.0,-7.8437
1100,1099.17,55.0,-9.6030
1100,1099.17,60.0,-11.5794
1100,1099.17,65.0,-13.7779
1100,1099.17,70.0,-16.1791
1100,1099.17,75.0,-18.7015
1100,1099.17,80.0,-21.1255
1100,1099.17,85.0,-23.0045
1100,1099.17,90.0,-23.7360
1100,1120.53,-90.0,-25.7736
1100,1120.53,-85.0,-25.0898
1100,1120.53,-80.0,-23.1397
1100,1120.53,-75.0,-20.4103
1100,1120.53,-70.0,-17.5121
1100,1120.53,-65.0,-14.7834
1100,1120.53,-60.0,-12.3312
1100,1120.53,-55.0,-10.1645
1100,1120.53,-50.0,-8.2627
1100,1120.53,-45.0,-6.6007
1100,1120.53,-40.0,-5.1561
1100,1120.53,-35.0,-3.9111
1100,1120.53,-30.0,-2.8521
1100,1120.53,-25.0,-1.9690
1100,1120.53,-20.0,-1.2544
1100,1120.53,-15.0,-0.7033
1100,1120.53,-10.0,-0.3118
1100,1120.53,-5.0,-0.0779
1100,1120.53,0.0,0.0000
1100,1120.53,5.0,-0.0779
1100,1120.53,10.0,-0.3118
1100,1120.53,15.0,-0.7033
1100,1120.53,20.0,-1.2544
1100,1120.53,25.0,-1.9690
1100,1120.53,30.0,-2.8521
1100,1120.53,35.0,-3.9111
1100,1120.53,40.0,-5.1561
1100,1120.53,45.0,-6.6007
1100,1120.53,50.0,-8.2627
1100,1120.53,55.0,-10.1645
1100,1120.53,60.0,-12.3312
1100,1120.53,65.0,-14.7834
1100,1120.53,70.0,-17.5121
1100,1120.53,75.0,-20.4103
1100,1120.53,80.0,-23.1397
1100,1120.53,85.0,-25.0898
1100,1120.53,90.0,-25.7736
1100,1141.90,-90.0,-22.5085
1100,1141.90,-85.0,-22.4223
1100,1141.90,-80.0,-21.8828
1100,1141.90,-75.0,-20.3976
1100,1141.90,-70.0,-18.0542
1100,1141.90,-65.0,-15.4222
1100,1141.90,-60.0,-12.8997
1100,1141.90,-55.0,-10.6264
1100,1141.90,-50.0,-8.6238
1100,1141.90,-45.0,-6.8764
1100,1141.90,-40.0,-5.3623
1100,1141.90,-35.0,-4.0616
1100,1141.90,-30.0,-2.9582
1100,1141.90,-25.0,-2.0403
1100,1141.90,-20.0,-1.2989
1100,1141.90,-15.0,-0.7278
1100,1141.90,-10.0,-0.3226
1100,1141.90,-5.0,-0.0805
1100,1141.90,0.0,0.0000
1100,1141.90,5.0,-0.0805
1100,1141.90,10.0,-0.3226
1100,1141.90,15.0,-0.7278
1100,1141.90,20.0,-1.2989
1100,1141.90,25.0,-2.0403
1100,1141.90,30.0,-2.9582
1100,1141.90,35.0,-4.0616
1100,1141.90,40.0,-5.3623
1100,1141.90,45.0,-6.8764
1100,1141.90,50.0,-8.6238
1100,1141.90,55.0,-10.6264
1100,1141.90,60.0,-12.8997
1100,1141.90,65.0,-15.4222
1100,1141.90,70.0,-18.0542
1100,1141.90,75.0,-20.3976
1100,1141.90,80.0,-21.8828
1100,1141.90,85.0,-22.4223
1100,1141.90,90.0,-22.5085
1100,1163.27,-90.0,-18.8879
1100,1163.27,-85.0,-18.9680
1100,1163.27,-80.0,-19.0624
1100,1163.27,-75.0,-18.7321
1100,1163.27,-70.0,-17.5173
1100,1163.27,-65.0,-15.5066
1100,1163.27,-60.0,-13.1960
1100,1163.27,-55.0,-10.9489
1100,1163.27,-50.0,-8.9085
1100,1163.27,-45.0,-7.1079
1100,1163.27,-40.0,-5.5419
1100,1163.27,-35.0,-4.1956
1100,1163.27,-30.0,-3.0542
1100,1163.27,-25.0,-2.1054
1100,1163.27,-20.0,-1.3397
1100,1163.27,-15.0,-0.7504
1100,1163.27,-10.0,-0.3325
1100,1163.27,-5.0,-0.0830
1100,1163.27,0.0,0.0000
1100,1163.27,5.0,-0.0830
1100,1163.27,10.0,-0.3325
1100,1163.27,15.0,-0.7504
1100,1163.27,20.0,-1.3397
1100,1163.27,25.0,-2.1054
1100,1163.27,30.0,-3.0542
1100,1163.27,35.0,-4.1956
1100,1163.27,40.0,-5.5419
1100,1163.27,45.0,-7.1079
1100,1163.27,50.0,-8.9085
1100,1163.27,55.0,-10.9489
1100,1163.27,60.0,-13.1960
1100,1163.27,65.0,-15.5066
1100,1163.27,70.0,-17.5173
1100,1163.27,75.0,-18.7321
1100,1163.27,80.0,-19.0624
1100,1163.27,85.0,-18.9680
1100,1163.27,90.0,-18.8879
1100,1184.64,-90.0,-16.1425
1100,1184.64,-85.0,-16.2493
1100,1184.64,-80.0,-16.4985
1100,1184.64,-75.0,-16.6408
1100,1184.64,-70.0,-16.2493
1100,1184.64,-65.0,-15.0282
1100,1184.64,-60.0,-13.1711
1100,1184.64,-55.0,-11.1012
1100,1184.64,-50.0,-9.1015
1100,1184.64,-45.0,-7.2878
1100,1184.64,-40.0,-5.6911
1100,1184.64,-35.0,-4.3113
1100,1184.64,-30.0,-3.1390
1100,1184.64,-25.0,-2.1638
1100,1184.64,-20.0,-1.3768
1100,1184.64,-15.0,-0.7711
1100,1184.64,-10.0,-0.3417
1100,1184.64,-5.0,-0.0853
1100,1184.64,0.0,0.0000
1100,1184.64,5.0,-0.0853
1100,1184.64,10.0,-0.3417
1100,1184.64,15.0,-0.7711
1100,1184.64,20.0,-1.3768
1100,1184.64,25.0,-2.1638
1100,1184.64,30.0,-3.1390
1100,1184.64,35.0,-4.3113
1100,1184.64,40.0,-5.6911
1100,1184.64,45.0,-7.2878
1100,1184.64,50.0,-9.1015
1100,1184.64,55.0,-11.1012
1100,1184.64,60.0,-13.1711
1100,1184.64,65.0,-15.0282
1100,1184.64,70.0,-16.2493
1100,1184.64,75.0,-16.6408
1100,1184.64,80.0,-16.4985
1100,1184.64,85.0,-16.2493
1100,1184.64,90.0,-16.1425
1100,1206.01,-90.0,-14.0355
1100,1206.01,-85.0,-14.1408
1100,1206.01,-80.0,-14.4176
1100,1206.01,-75.0,-14.7217
1100,1206.01,-70.0,-14.7578
1100,1206.01,-65.0,-14.1652
1100,1206.01,-60.0,-12.8441
1100,1206.01,-55.0,-11.0719
1100,1206.01,-50.0,-9.1928
1100,1206.01,-45.0,-7.4103
1100,1206.01,-40.0,-5.8072
1100,1206.01,-35.0,-4.4074
1100,1206.01,-30.0,-3.2121
1100,1206.01,-25.0,-2.2153
1100,1206.01,-20.0,-1.4099
1100,1206.01,-15.0,-0.7897
1100,1206.01,-10.0,-0.3499
1100,1206.01,-5.0,-0.0873
1100,1206.01,0.0,0.0000
1100,1206.01,5.0,-0.0873
1100,1206.01,10.0,-0.3499
1100,1206.01,15.0,-0.7897
1100,1206.01,20.0,-1.4099
1100,1206.01,25.0,-2.2153
1100,1206.01,30.0,-3.2121
1100,1206.01,35.0,-4.4074
1100,1206.01,40.0,-5.8072
1100,1206.01,45.0,-7.4103
1100,1206.01,50.0,-9.1928
1100,1206.01,55.0,-11.0719
1100,1206.01,60.0,-12.8441
1100,1206.01,65.0,-14.1652
1100,1206.01,70.0,-14.7578
1100,1206.01,75.0,-14.7217
1100,1206.01,80.0,-14.4176
1100,1206.01,85.0,-14.1408
1100,1206.01,90.0,-14.0355
1100,1227.38,-90.0,-12.3556
1100,1227.38,-85.0,-12.4538
1100,1227.38,-80.0,-12.7244
1100,1227.38,-75.0,-13.0777
1100,1227.38,-70.0,-13.3155
1100,1227.38,-65.0,-13.1311
1100,1227.38,-60.0,-12.2904
1100,1227.38,-55.0,-10.8733
1100,1227.38,-50.0,-9.1805
1100,1227.38,-45.0,-7.4726
1100,1227.38,-40.0,-5.8882
1100,1227.38,-35.0,-4.4828
1100,1227.38,-30.0,-3.2729
1100,1227.38,-25.0,-2.2597
1100,1227.38,-20.0,-1.4390
1100,1227.38,-15.0,-0.8063
1100,1227.38,-10.0,-0.3574
1100,1227.38,-5.0,-0.0892
1100,1227.38,0.0,0.0000
1100,1227.38,5.0,-0.0892
1100,1227.38,10.0,-0.3574
1100,1227.38,15.0,-0.8063
1100,1227.38,20.0,-1.4390
1100,1227.38,25.0,-2.2597
1100,1227.38,30.0,-3.2729
1100,1227.38,35.0,-4.4828
1100,1227.38,40.0,-5.8882
1100,1227.38,45.0,-7.4726
1100,1227.38,50.0,-9.1805
1100,1227.38,55.0,-10.8733
1100,1227.38,60.0,-12.2904
