freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
410.823,0.0000,-0.0281,-0.1776,-0.1416,0.1416,-0.0702,0.0000,-0.0279,-0.1764,-0.1406,0.1406,-0.0697
414.632,0.0000,-0.0286,-0.1807,-0.1440,0.1440,-0.0714,0.0000,-0.0284,-0.1793,-0.1430,0.1430,-0.0709
418.477,0.0000,-0.0291,-0.1837,-0.1465,0.1465,-0.0726,0.0000,-0.0289,-0.1823,-0.1454,0.1454,-0.0721
422.357,0.0000,-0.0296,-0.1869,-0.1490,0.1490,-0.0739,0.0000,-0.0294,-0.1854,-0.1478,0.1478,-0.0733
426.272,0.0000,-0.0301,-0.1901,-0.1516,0.1516,-0.0751,0.0000,-0.0299,-0.1885,-0.1503,0.1503,-0.0745
430.225,0.0000,-0.0306,-0.1934,-0.1541,0.1541,-0.0764,0.0000,-0.0304,-0.1917,-0.1528,0.1528,-0.0757
434.214,0.0000,-0.0311,-0.1967,-0.1568,0.1568,-0.0777,0.0000,-0.0309,-0.1949,-0.1554,0.1554,-0.0770
438.239,0.0000,-0.0317,-0.2001,-0.1595,0.1595,-0.0790,0.0000,-0.0314,-0.1982,-0.1580,0.1580,-0.0783
442.302,0.0000,-0.0322,-0.2035,-0.1622,0.1622,-0.0803,0.0000,-0.0319,-0.2016,-0.1607,0.1607,-0.0796
446.403,0.0000,-0.0328,-0.2070,-0.1650,0.1650,-0.0817,0.0000,-0.0325,-0.2050,-0.1634,0.1634,-0.0809
450.542,0.0000,-0.0333,-0.2106,-0.1678,0.1678,-0.0831,0.0000,-0.0330,-0.2084,-0.1661,0.1661,-0.0823
454.719,0.0000,-0.0339,-0.2142,-0.1707,0.1707,-0.0845,0.0000,-0.0336,-0.2119,-0.1689,0.1689,-0.0836
458.935,0.0000,-0.0345,-0.2179,-0.1736,0.1736,-0.0860,0.0000,-0.0341,-0.2155,-0.1717,0.1717,-0.0850
463.190,0.0000,-0.0351,-0.2217,-0.1766,0.1766,-0.0874,0.0000,-0.0347,-0.2191,-0.1746,0.1746,-0.0864
467.485,0.0000,-0.0357,-0.2255,-0.1797,0.1797,-0.0889,0.0000,-0.0353,-0.2228,-0.1775,0.1775,-0.0879
471.819,0.0000,-0.0363,-0.2294,-0.1828,0.1828,-0.0904,0.0000,-0.0359,-0.2266,-0.1805,0.1805,-0.0893
476.194,0.0000,-0.0369,-0.2334,-0.1859,0.1859,-0.0920,0.0000,-0.0365,-0.2304,-0.1835,0.1835,-0.0908
480.609,0.0000,-0.0376,-0.2374,-0.1891,0.1891,-0.0935,0.0000,-0.0371,-0.2342,-0.1866,0.1866,-0.0923
485.065,0.0000,-0.0382,-0.2415,-0.1923,0.1923,-0.0951,0.0000,-0.0377,-0.2382,-0.1897,0.1897,-0.0938
489.562,0.0000,-0.0389,-0.2457,-0.1957,0.1957,-0.0967,0.0000,-0.0383,-0.2422,-0.1929,0.1929,-0.0954
494.101,0.0000,-0.0395,-0.2499,-0.1990,0.1990,-0.0984,0.0000,-0.0390,-0.2462,-0.1961,0.1961,-0.0969
498.682,0.0000,-0.0402,-0.2542,-0.2024,0.2024,-0.1000,0.0000,-0.0396,-0.2503,-0.1993,0.1993,-0.0985
503.305,0.0000,-0.0409,-0.2586,-0.2059,0.2059,-0.1017,0.0000,-0.0403,-0.2545,-0.2026,0.2026,-0.1001
507.972,0.0000,-0.0416,-0.2631,-0.2094,0.2094,-0.1035,0.0000,-0.0409,-0.2587,-0.2060,0.2060,-0.1018
512.681,0.0000,-0.0423,-0.2676,-0.2130,0.2130,-0.1052,0.0000,-0.0416,-0.2630,-0.2094,0.2094,-0.1034
517.435,0.0000,-0.0430,-0.2722,-0.2167,0.2167,-0.1070,0.0000,-0.0423,-0.2674,-0.2128,0.2128,-0.1051
522.232,0.0000,-0.0438,-0.2769,-0.2204,0.2204,-0.1088,0.0000,-0.0430,-0.2718,-0.2163,0.2163,-0.1068
527.074,0.0000,-0.0445,-0.2816,-0.2241,0.2241,-0.1106,0.0000,-0.0437,-0.2762,-0.2199,0.2199,-0.1085
531.961,0.0000,-0.0453,-0.2864,-0.2280,0.2280,-0.1125,0.0000,-0.0444,-0.2808,-0.2235,0.2235,-0.1103
536.893,0.0000,-0.0461,-0.2913,-0.2318,0.2318,-0.1144,0.0000,-0.0451,-0.2854,-0.2271,0.2271,-0.1121
541.871,0.0000,-0.0468,-0.2963,-0.2358,0.2358,-0.1163,0.0000,-0.0459,-0.2900,-0.2308,0.2308,-0.1139
546.895,0.0000,-0.0476,-0.3014,-0.2398,0.2398,-0.1182,0.0000,-0.0466,-0.2948,-0.2345,0.2345,-0.1157
551.965,0.0000,-0.0484,-0.3065,-0.2438,0.2438,-0.1202,0.0000,-0.0474,-0.2995,-0.2383,0.2383,-0.1175
557.083,0.0000,-0.0493,-0.3117,-0.2479,0.2479,-0.1222,0.0000,-0.0481,-0.3044,-0.2421,0.2421,-0.1194
562.248,0.0000,-0.0501,-0.3170,-0.2521,0.2521,-0.1242,0.0000,-0.0489,-0.3093,-0.2460,0.2460,-0.1213
567.461,0.0000,-0.0509,-0.3224,-0.2564,0.2564,-0.1263,0.0000,-0.0497,-0.3142,-0.2499,0.2499,-0.1232
572.722,0.0000,-0.0518,-0.3278,-0.2607,0.2607,-0.1284,0.0000,-0.0505,-0.3192,-0.2539,0.2539,-0.1251
578.032,0.0000,-0.0527,-0.3333,-0.2650,0.2650,-0.1305,0.0000,-0.0513,-0.3243,-0.2579,0.2579,-0.1270
583.391,0.0000,-0.0535,-0.3389,-0.2695,0.2695,-0.1326,0.0000,-0.0521,-0.3294,-0.2620,0.2620,-0.1290
588.800,0.0000,-0.0544,-0.3446,-0.2740,0.2740,-0.1348,0.0000,-0.0529,-0.3346,-0.2660,0.2660,-0.1310
594.259,0.0000,-0.0553,-0.3504,-0.2785,0.2785,-0.1370,0.0000,-0.0537,-0.3398,-0.2702,0.2702,-0.1330
599.769,0.0000,-0.0563,-0.3562,-0.2831,0.2831,-0.1392,0.0000,-0.0545,-0.3451,-0.2744,0.2744,-0.1350
605.330,0.0000,-0.0572,-0.3621,-0.2878,0.2878,-0.1415,0.0000,-0.0554,-0.3505,-0.2786,0.2786,-0.1371
610.942,0.0000,-0.0581,-0.3681,-0.2925,0.2925,-0.1438,0.0000,-0.0562,-0.3559,-0.2828,0.2828,-0.1391
616.606,0.0000,-0.0591,-0.3742,-0.2973,0.2973,-0.1461,0.0000,-0.0571,-0.3613,-0.2871,0.2871,-0.1412
622.323,0.0000,-0.0600,-0.3804,-0.3022,0.3022,-0.1484,0.0000,-0.0579,-0.3668,-0.2914,0.2914,-0.1433
628.093,0.0000,-0.0610,-0.3866,-0.3071,0.3071,-0.1508,0.0000,-0.0588,-0.3723,-0.2958,0.2958,-0.1454
633.916,0.0000,-0.0620,-0.3929,-0.3120,0.3120,-0.1532,0.0000,-0.0597,-0.3779,-0.3002,0.3002,-0.1475
639.794,0.0000,-0.0630,-0.3993,-0.3171,0.3171,-0.1556,0.0000,-0.0606,-0.3835,-0.3046,0.3046,-0.1496
645.726,0.0000,-0.0640,-0.4057,-0.3221,0.3221,-0.1581,0.0000,-0.0615,-0.3891,-0.3091,0.3091,-0.1518
651.712,0.0000,-0.0651,-0.4122,-0.3273,0.3273,-0.1606,0.0000,-0.0624,-0.3948,-0.3136,0.3136,-0.1540
657.755,0.0000,-0.0661,-0.4188,-0.3325,0.3325,-0.1631,0.0000,-0.0633,-0.4006,-0.3181,0.3181,-0.1561
663.853,0.0000,-0.0671,-0.4255,-0.3377,0.3377,-0.1656,0.0000,-0.0642,-0.4063,-0.3226,0.3226,-0.1583
670.008,0.0000,-0.0682,-0.4323,-0.3431,0.3431,-0.1681,0.0000,-0.0651,-0.4121,-0.3272,0.3272,-0.1605
676.220,0.0000,-0.0693,-0.4391,-0.3484,0.3484,-0.1707,0.0000,-0.0660,-0.4179,-0.3318,0.3318,-0.1627
682.490,0.0000,-0.0703,-0.4459,-0.3538,0.3538,-0.1733,0.0000,-0.0669,-0.4237,-0.3364,0.3364,-0.1649
688.817,0.0000,-0.0714,-0.4529,-0.3593,0.3593,-0.1759,0.0000,-0.0678,-0.4296,-0.3410,0.3410,-0.1671
695.204,0.0000,-0.0725,-0.4599,-0.3648,0.3648,-0.1786,0.0000,-0.0688,-0.4355,-0.3456,0.3456,-0.1694
701.649,0.0000,-0.0737,-0.4670,-0.3704,0.3704,-0.1812,0.0000,-0.0697,-0.4414,-0.3503,0.3503,-0.1716
708.155,0.0000,-0.0748,-0.4741,-0.3760,0.3760,-0.1839,0.0000,-0.0706,-0.4473,-0.3549,0.3549,-0.1738
714.720,0.0000,-0.0759,-0.4813,-0.3816,0.3816,-0.1866,0.0000,-0.0716,-0.4532,-0.3595,0.3595,-0.1761
721.347,0.0000,-0.0770,-0.4885,-0.3873,0.3873,-0.1893,0.0000,-0.0725,-0.4591,-0.3642,0.3642,-0.1783
728.035,0.0000,-0.0782,-0.4958,-0.3930,0.3930,-0.1921,0.0000,-0.0734,-0.4650,-0.3688,0.3688,-0.1805
