freq_hz,woofer_raw_db,woofer_sealed_db,woofer_pair_baffle_db,woofer_filtered_db,mid_raw_db,mid_baffle_db,mid_filtered_db,tweeter_raw_db,tweeter_wg_db,tweeter_filtered_db,tweeter_final_db,system_sum_db,coherent_sum_db
4994.82,81.1622,81.1622,84.2308,-37.5634,89.7945,89.8632,41.7004,94.8660,94.8900,94.9247,86.1722,86.1723,86.2240
5141.29,80.1315,80.1315,83.1963,-39.6021,90.4119,90.4768,41.3135,94.8959,94.9186,94.9531,86.2006,86.2008,86.2500
5292.05,79.1556,79.1556,82.2169,-41.5857,91.0563,91.1175,40.9534,94.9518,94.9732,95.0074,86.2549,86.2551,86.3020
5447.24,78.4088,78.4088,81.4666,-43.3402,91.8131,91.8709,40.7056,95.1161,95.1363,95.1701,86.4176,86.4177,86.4625
5606.98,77.5441,77.5441,80.5988,-45.2122,92.4779,92.5325,40.3656,95.2371,95.2562,95.2894,86.5369,86.5370,86.5795
5771.40,76.1599,76.1599,79.2115,-47.6036,92.7368,92.7884,39.6196,95.1674,95.1854,95.2179,86.4654,86.4655,86.5048
5940.64,74.5007,74.5007,77.5495,-50.2699,92.9166,92.9653,38.7945,95.1469,95.1639,95.1956,86.4431,86.4432,86.4791
6114.85,71.5581,71.5581,74.6041,-54.2195,92.7274,92.7734,37.6002,95.3560,95.3721,95.4029,86.6505,86.6505,86.6810
6294.16,68.9393,68.9393,71.9827,-57.8450,92.4897,92.5331,36.3574,95.5492,95.5644,95.5944,86.8419,86.8419,86.8678
6478.74,67.9236,67.9236,70.9646,-59.8673,92.0117,92.0527,34.8743,95.6638,95.6781,95.7071,86.9546,86.9546,86.9762
6668.72,67.1725,67.1725,70.2113,-61.6248,91.3906,91.4293,33.2480,95.7783,95.7918,95.8198,87.0673,87.0674,87.0850
6864.28,67.8148,67.8148,70.8514,-61.9889,90.0164,90.0530,30.8686,95.8928,95.9056,95.9326,87.1801,87.1801,87.1934
7065.57,68.1868,68.1868,71.2213,-62.6231,88.5013,88.5359,28.3484,96.0066,96.0186,96.0446,87.2922,87.2922,87.3020
7272.76,67.0416,67.0416,70.0742,-64.7744,86.1960,86.2286,25.0379,96.1161,96.1275,96.1525,87.4000,87.4000,87.4066
7486.03,65.9362,65.9362,68.9670,-66.8858,84.3466,84.3774,22.1833,96.1424,96.1532,96.1772,87.4247,87.4247,87.4295
7705.56,65.0699,65.0699,68.0990,-68.7581,85.2329,85.2619,22.0644,95.6694,95.6796,95.7026,86.9501,86.9501,86.9551
7931.52,64.4070,64.4070,67.4345,-70.4267,85.9685,85.9960,21.7949,95.2326,95.2421,95.2642,86.5117,86.5117,86.5168
8164.11,65.0543,65.0543,68.0802,-70.7852,85.7345,85.7604,20.5558,95.0284,95.0374,95.0586,86.3061,86.3061,86.3106
8403.51,65.4882,65.4882,68.5126,-71.3569,85.5244,85.5488,19.3405,94.8312,94.8397,94.8599,86.1074,86.1074,86.1114
8649.94,64.4426,64.4426,67.4657,-73.4081,85.4795,85.5026,18.2906,94.6818,94.6898,94.7092,85.9567,85.9567,85.9603
8903.60,63.3513,63.3513,66.3731,-75.5049,85.3357,85.3575,17.1417,94.5541,94.5617,94.5801,85.8276,85.8276,85.8308
9164.69,61.9173,61.9173,64.9379,-77.9442,84.4494,84.4700,15.2504,94.5890,94.5961,94.6137,85.8612,85.8612,85.8638
9433.44,60.4659,60.4659,63.4854,-80.4010,83.6214,83.6408,13.4173,94.6249,94.6317,94.6484,85.8959,85.8959,85.8980
9710.07,58.8726,58.8726,61.8910,-82.9995,83.2679,83.2862,12.0588,94.6697,94.6761,94.6921,85.9396,85.9396,85.9413
9994.82,57.1021,57.1021,60.1194,-85.7752,,,,,,,,,
10287.91,53.7512,53.7512,56.7675,-90.1313,,,,,,,,,
10589.60,,,,,,,,,,,,,
10900.13,,,,,,,,,,,,,
11219.77,,,,,,,,,,,,,
11548.78,,,,,,,,,,,,,
11887.45,,,,,,,,,,,,,
12236.04,,,,,,,,,,,,,
12594.86,,,,,,,,,,,,,
12964.19,,,,,,,,,,,,,
13344.36,,,,,,,,,,,,,
